script	stamped_on	stamp_source	file	bytes	sha256	rows	file_mtime
build-data.R	2026-08-17	disk	derived/checks.csv	999	sha256:17ecad6b8f4c26e85cd5b5eebbad26ad341f707a5548fe23b9142d0b4327abdd	17	2026-08-15
build-data.R	2026-08-17	disk	derived/facts.csv	1598	sha256:057ddc4ad117bcfe5ca40e0c4fff73064fe4bc3d1b9fe00115269d14d5f6d1b1	22	2026-08-15
build-data.R	2026-08-17	disk	derived/fl_respondents.csv	79750	sha256:db2fcebc0df1e59bfee69cfeeb3b1342b0d36696f8b381b4a7ff0eda3e7312cb	867	2026-08-15
build-data.R	2026-08-17	disk	derived/schemes.csv	781	sha256:597a656fd74aced0fdb9f00fcc6e49533ad64a91509c53d1a969cbe68690fb8a	8	2026-08-15
build-data.R	2026-08-17	disk	derived/targets.csv	1248	sha256:ad6cd0a898585e2145a1b9c6a5acd9e40345ead5ad712560211ce800dfc48733	24	2026-08-15
build-data.R	2026-08-17	disk	raw/upshot-siena-polls.csv	2282360	sha256:85cfb25b942656d95d6c4a669751c61b3cad93df9071dcf65a88072fa3303c01	4879	2026-08-15
